date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,name
2025-05-29,688347,46.8,49.42,50.07,46.4,136500,659845758.0,7.88,6.14,2.86,3.49,华虹公司
2025-05-30,688347,48.9,47.88,49.08,47.8,65437,315565731.0,2.59,-3.12,-1.54,1.67,华虹公司
2025-06-03,688347,47.97,48.12,49.49,47.56,79766,387379142.0,4.03,0.5,0.24,2.04,华虹公司
2025-06-04,688347,48.29,48.27,48.47,47.8,40432,194662071.0,1.39,0.31,0.15,1.03,华虹公司
2025-06-05,688347,48.38,49.06,49.5,47.85,85460,417383445.0,3.42,1.64,0.79,2.18,华虹公司
2025-06-06,688347,49.0,49.0,49.95,48.71,62381,307517863.0,2.53,-0.12,-0.06,1.59,华虹公司
2025-06-09,688347,49.0,50.32,50.48,48.9,82486,411416299.0,3.22,2.69,1.32,2.11,华虹公司
2025-06-10,688347,50.45,48.2,50.5,47.9,92551,451931143.0,5.17,-4.21,-2.12,2.36,华虹公司
2025-06-11,688347,48.0,48.2,49.26,47.99,70581,343691118.0,2.63,0.0,0.0,1.8,华虹公司
2025-06-12,688347,48.21,47.12,48.45,47.0,81479,387286187.0,3.01,-2.24,-1.08,2.08,华虹公司
2025-06-13,688347,47.12,46.78,47.69,46.01,119606,560247642.0,3.57,-0.72,-0.34,3.06,华虹公司
2025-06-16,688347,46.74,47.44,47.78,46.6,53848,255348372.0,2.52,1.41,0.66,1.38,华虹公司
2025-06-17,688347,47.42,48.66,48.87,47.02,74893,358799083.0,3.9,2.57,1.22,1.91,华虹公司
2025-06-18,688347,48.5,49.5,49.82,48.31,102389,502717328.0,3.1,1.73,0.84,2.62,华虹公司
2025-06-19,688347,49.03,49.57,50.31,49.02,75861,376313271.0,2.61,0.14,0.07,1.94,华虹公司
2025-06-20,688347,50.0,51.0,51.97,50.0,166626,854541679.0,3.97,2.88,1.43,4.26,华虹公司
2025-06-23,688347,50.82,51.98,53.53,50.81,167143,877113342.0,5.33,1.92,0.98,4.27,华虹公司
2025-06-24,688347,52.03,51.95,52.64,51.15,106776,553185103.0,2.87,-0.06,-0.03,2.73,华虹公司
2025-06-25,688347,51.9,52.9,53.28,51.81,112202,591111205.0,2.83,1.83,0.95,2.87,华虹公司
2025-06-26,688347,52.9,52.1,53.58,51.97,89728,471725814.0,3.04,-1.51,-0.8,2.29,华虹公司
2025-06-27,688347,52.4,52.12,52.59,51.68,54589,284687958.0,1.75,0.04,0.02,1.39,华虹公司
2025-06-30,688347,53.01,54.91,55.9,52.7,207687,1138386402.0,6.14,5.35,2.79,5.31,华虹公司
2025-07-01,688347,54.83,54.51,54.83,53.63,95331,516888151.0,2.19,-0.73,-0.4,2.44,华虹公司
2025-07-02,688347,54.15,53.27,54.29,52.68,77786,413603597.0,2.95,-2.27,-1.24,1.99,华虹公司
2025-07-03,688347,53.0,52.67,53.48,52.41,75589,398567046.0,2.01,-1.13,-0.6,1.93,华虹公司
