date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,name,tr,atr20,entry_high,exit_low,cash,shares,units,stop_price,next_add_price,equity,action,execution_price,action_reason,strategy_return,strategy_net_value,running_peak,drawdown,buy_hold_equity,buy_hold_net_value
2025-10-31,688347,134.64,125.05,136.28,124.9,316725,4040121604.0,8.53,-6.22,-8.29,7.77,华虹公司,11.379999999999995,9.449456901818772,142.09,84.9,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,799757.7592379501,,,,-0.04645527080479228,1.5995155184759002,870022.7592379501,-0.08076225507197632,1184360.3909052555,2.3687207818105107
2025-11-03,688347,123.32,122.75,124.8,118.84,237042,2883285457.0,4.77,-1.84,-2.3,5.81,华虹公司,6.209999999999994,9.287484056727832,142.09,89.01,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,788947.7592379501,,,,-0.013516592837186536,1.5778955184759003,870022.7592379501,-0.09318721739074198,1162576.873119713,2.325153746239426
2025-11-04,688347,122.75,124.17,129.33,122.74,286285,3611757637.0,5.37,1.16,1.42,7.02,华虹公司,6.590000000000018,9.152609853891441,142.09,92.0,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,795621.7592379501,,,,0.008459368724801797,1.5912435184759002,870022.7592379501,-0.08551615369828669,1176025.827578613,2.352051655157226
2025-11-05,688347,118.8,120.97,123.45,118.8,213631,2593883661.0,3.74,-2.58,-3.2,5.24,华虹公司,5.3700000000000045,8.963479361196868,142.09,97.0,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,780581.7592379501,,,,-0.01890345484568623,1.5611635184759,870022.7592379501,-0.1028030577939606,1145718.324572641,2.291436649145282
2025-11-06,688347,124.58,127.26,127.45,118.4,340929,4220518405.0,7.48,5.2,6.29,8.36,华虹公司,9.049999999999997,8.967805393137024,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,810144.7592379501,,,,0.03787303463106939,1.6202895184759,870022.7592379501,-0.06882348693090157,1205291.510168755,2.41058302033751
2025-11-07,688347,122.25,125.76,130.35,119.0,328059,4051428845.0,8.92,-1.18,-1.5,8.05,华虹公司,11.349999999999994,9.086915123480171,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,803094.7592379501,,,,-0.008702148498289985,1.6061895184759,870022.7592379501,-0.07692672322574867,1191084.8681347056,2.382169736269411
2025-11-10,688347,123.2,118.85,125.49,115.9,294330,3513180535.0,7.63,-5.49,-6.91,7.22,华虹公司,9.86,9.125569367306163,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,770617.7592379501,,,,-0.04043981065300084,1.5412355184759001,870022.7592379501,-0.11425563175734443,1125639.6038311843,2.2512792076623684
2025-11-11,688347,120.0,114.3,123.6,113.66,232295,2722590996.0,8.36,-3.83,-4.55,5.7,华虹公司,9.939999999999998,9.166290898940854,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,749232.7592379501,,,,-0.027750463499760514,1.4984655184759001,870022.7592379501,-0.1388354485183808,1082546.1229945677,2.1650922459891353
2025-11-12,688347,113.21,113.38,114.9,111.11,167277,1887136397.0,3.32,-0.8,-0.92,4.1,华虹公司,3.7900000000000063,8.897476353993811,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,744908.7592379501,,,,-0.0057712372379419286,1.4898175184759002,870022.7592379501,-0.14380543344588703,1073832.7158803507,2.1476654317607013
2025-11-13,688347,113.55,116.35,116.98,112.44,173742,2001122608.0,4.0,2.62,2.97,4.26,华虹公司,4.540000000000006,8.679602536294121,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,758867.7592379501,,,,0.018739207757846987,1.5177355184759003,870022.7592379501,-0.12776102558208968,1101961.8671077685,2.203923734215537
2025-11-14,688347,113.79,111.73,116.44,111.17,149995,1695936893.0,4.53,-3.97,-4.62,3.68,华虹公司,5.269999999999996,8.509122409479415,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,737153.7592379501,,,,-0.028613681021058324,1.4743075184759002,870022.7592379501,-0.15271899337021888,1058205.4096428964,2.1164108192857927
2025-11-17,688347,112.49,113.1,115.0,111.2,121477,1380074562.0,3.4,1.23,1.37,2.98,华虹公司,3.799999999999997,8.273666289005444,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,743592.7592379501,,,,0.008734948332429937,1.4871855184759002,870022.7592379501,-0.14531803755425843,1071180.8093673282,2.1423616187346566
2025-11-18,688347,113.1,116.98,120.36,112.5,233104,2747290624.0,6.95,3.43,3.88,5.72,华虹公司,7.859999999999999,8.252982974555172,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,761828.7592379501,,,,0.02452417640361193,1.5236575184759003,870022.7592379501,-0.12435766633825385,1107928.6567620693,2.215857313524139
2025-11-19,688347,115.58,114.5,117.54,113.82,134565,1555762129.0,3.18,-2.12,-2.48,3.3,华虹公司,3.720000000000013,8.026333825827413,142.09,108.8,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,750172.7592379501,,,,-0.01530002623116955,1.5003455184759003,870022.7592379501,-0.13775501701240112,1084440.3419324409,2.1688806838648818
